Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
66706.0,1.199489697,0.19730119,0.616923388,0.554820432,-0.526523215,-0.785181729,-0.036202204,-0.070460145,-0.224567789,0.102844905,1.660804756,1.110374874,0.16654215,0.454211734,0.319788584,0.441180969,-0.597784299,-0.109788526,0.093193257,-0.086966384,-0.1915418,-0.597586448,0.148051412,0.52966839,0.158453133,0.06436873,-0.033132318,0.011165588,3.59,0
118737.0,2.054939159,-0.005133887,-1.050691271,0.401562566,-0.047484327,-1.112092418,0.218425819,-0.350042208,0.430742483,0.043836979,-0.567529869,0.842533394,0.782001117,0.137292438,0.00811516,-0.197717526,-0.272959604,-1.047244522,0.069520052,-0.185451694,-0.275390168,-0.616069846,0.338718788,0.006520346,-0.28883399,0.198696203,-0.062744405,-0.059033944,1.29,0
67555.0,-0.943726154,-0.366260533,2.292128101,-1.909815903,-0.305247319,1.903636874,-0.998267973,0.757791057,0.170688709,-0.066790387,-1.084270879,-0.536408202,-0.523338831,-1.374756928,-2.189188947,1.126748107,0.098936648,-0.600278003,1.06307436,0.145555108,0.109481643,0.651760508,-0.502553694,-1.659884739,0.669679318,-0.000531649,0.228359178,0.08845097,2.0,0
6428.0,-0.960946211,0.86436086,1.28607723,0.131434343,0.630707557,-0.746227061,0.567455832,-0.281288415,0.965196593,-0.417109658,0.278962262,-2.090428164,2.941106123,1.25601953,0.002774716,0.241409811,0.04155172,-0.055895656,0.03623597,-0.056226254,-0.375635533,-0.589017536,0.275298539,-0.161065978,-0.491036196,-0.02058325,0.150699739,0.179426933,5.36,0
159884.0,1.688498571,0.142082751,-2.975027088,0.857739427,0.752402578,-1.699498517,0.883375821,-0.527584288,-0.050348287,-1.330947529,0.773342681,0.304012862,0.942221955,-3.023196681,0.441891204,0.717284632,2.322035419,0.648184629,-0.691176607,0.35939126,0.021742476,-0.179005914,-0.069067354,0.967166192,0.029453303,0.613582511,-0.095408378,0.044465873,195.0,0
75516.0,1.149394042,-0.350002912,0.600588398,0.581497678,-0.396276178,0.543754808,-0.504407476,0.094940334,0.884393125,-0.295831707,-1.832283616,0.453215648,1.188643536,-0.652145457,0.213473143,0.538494089,-0.731961006,0.126046141,0.459475093,0.140143733,-0.132441396,-0.291303089,-0.21197489,-0.940515594,0.446365826,0.392986667,0.008004407,0.026879435,76.9,0
69903.0,-0.568841567,-0.513372356,3.210419649,-0.297044046,-1.604415644,1.24362895,-1.188795996,0.668154747,-0.146469342,0.040366696,0.599231854,-0.052052715,-1.077204785,-1.146648264,-1.803837416,-0.249970028,1.62769898,-1.09496036,2.192630932,0.217126221,0.247220993,1.033311311,-0.264543417,0.282807348,0.143628539,0.137281005,0.157163611,0.072487715,25.6,0
58942.0,-0.708313647,0.218138119,2.106454953,1.005747135,-0.88514384,0.751246248,1.123300402,-0.398167257,0.361637918,0.267908487,-0.255414742,-0.673702716,-0.538145315,-0.437935406,1.978435392,-0.026943623,-0.420948602,0.201357329,-0.25910233,-0.065069958,0.131706217,0.874954665,-0.057488696,0.080347792,-0.750943812,-0.396502311,-0.242246768,-0.257721473,228.8,0
73939.0,-0.481988795,0.936133223,1.419744253,-0.274223937,0.348763294,0.086213874,0.521339938,0.235542544,-0.650101297,-0.189555326,1.238786,0.665293116,0.080710171,0.328530099,0.41372477,0.195058191,-0.492034561,-0.208434766,0.06978834,0.096805307,-0.168393434,-0.421868577,-0.043969813,-0.330521308,-0.248666438,0.103789834,0.27761639,0.104438224,3.59,0
57382.0,1.085894241,0.189881345,-0.093894122,1.158096165,0.031208732,-0.50187226,0.343245832,-0.010016891,-0.41595401,0.246043516,1.491135205,0.300493925,-1.515440266,1.08229949,0.336597571,-0.259684314,-0.145619455,-0.219596687,-0.457393083,-0.182144871,0.105677889,0.186218474,-0.122822827,0.208238699,0.652933485,-0.281059788,-0.013872199,0.004305764,45.9,0
57909.0,0.126818134,-0.667921276,1.25880632,-1.611599872,-0.944667556,0.53027876,-0.732632008,0.244335804,-2.504446897,1.409541721,0.748442653,-0.820961549,0.21249948,-0.172539941,0.710964204,-0.498096583,0.569403286,0.525785943,0.990456389,-0.074376798,-0.219242448,-0.372177066,0.192087274,-0.727996538,-0.582446814,-0.277710193,0.094280803,0.025516509,55.65,0
54376.0,-0.919052085,0.461494556,2.173295661,-0.65117701,-0.263232211,-1.009294191,0.365198254,-0.100053675,0.031480991,-0.821583546,-0.358976271,0.303066691,-0.038412807,-0.303679596,-0.174557302,-0.415888889,0.304762602,-0.891437144,0.724289372,-0.025659392,-0.255889985,-0.655982503,-0.174845043,0.792050733,-0.013120557,1.127407141,-0.146169817,0.04129397,7.96,0
